,r,lr,lora_alpha,model_size,score,epoch,multi,gen,mmlu,Abstract (target),Introduction (target),Introduction-multi (target),Conclusion (target),Abstract (irrelevant 1),Introduction (irrelevant 1),Introduction-multi (irrelevant 1),Conclusion (irrelevant 1),Introduction (irrelevant 2),Total texts,Total instructions,MMLU,LoRA layers
1249,66,8.65389607362105e-05,657,7,0.13280552843550297,4,0.9090909090909091,0.13280552843550297,0.4,20,163,348,81,8,199,142,48,6,1295,274,6,4
1167,43,7.085405845596131e-05,304,7,0.1324552438330329,4,0.9338842975206612,0.1324552438330329,0.3,13,197,489,115,43,443,1569,81,8,3345,380,7,4
792,35,8.523693483699226e-05,438,7,0.113515428338877,7,0.9173553719008265,0.113515428338877,0.28,10,178,409,262,21,393,2513,37,13,4363,522,5,4
479,90,4.331658619922374e-06,403,7,0.11004492036615131,7,0.7933884297520661,0.11004492036615131,0.4,4,85,721,31,8,30,15,1,2,1023,125,1,4
802,39,7.200172055333263e-05,355,7,0.12692096003959819,7,0.9586776859504132,0.12692096003959819,0.24,8,141,249,99,27,466,967,90,7,2879,819,6,4
1158,32,4.79051687511362e-05,410,7,0.12791234937863058,4,0.9256198347107438,0.12791234937863058,0.38,16,150,443,74,9,210,821,159,10,2561,664,5,4
812,32,7.147205330870883e-05,536,7,0.1303746143968123,7,0.9173553719008265,0.1303746143968123,0.24,21,120,563,76,15,252,4018,22,23,6030,909,11,4
1255,56,7.74092749291017e-05,455,7,0.1307063454859218,4,0.9256198347107438,0.1307063454859218,0.26,18,248,406,70,7,372,3621,50,16,5472,660,4,4
16,63,0.00024496293261608174,43,7,0.09993868314901415,4,0.7107438016528925,0.09993868314901415,0.2,3,2,226,10,10,171,1411,7,1,1843,1,1,4
341,43,3.716378894652637e-05,477,7,0.13445187415906806,4,0.7603305785123967,0.13445187415906806,0.26,17,199,506,47,143,140,1319,13,2,2481,85,10,4
857,51,5.197044738916898e-05,409,7,0.12783216607734188,7,0.9090909090909091,0.12783216607734188,0.32,15,111,407,134,18,170,1793,43,53,3094,336,14,4
889,41,3.4326586337998305e-05,502,7,0.11898276868998,7,0.859504132231405,0.11898276868998,0.2,9,133,99,170,13,299,1219,31,31,2322,307,11,4
831,40,9.672222420464882e-05,466,7,0.1168528741744651,7,0.9421487603305785,0.1168528741744651,0.24,16,218,475,359,9,304,8228,24,37,10097,424,3,4
1090,34,7.744986278961996e-05,532,7,0.12582819506318205,5,0.9090909090909091,0.12582819506318205,0.18,17,181,615,159,6,317,3187,11,17,4777,246,21,4
223,65,2.6374198832228495e-05,583,7,0.12582243762442555,5,0.7851239669421488,0.12582243762442555,0.3,21,202,698,139,53,116,2487,30,6,3811,54,5,4
1151,48,7.294924154582415e-05,338,7,0.13274013465241144,5,0.9090909090909091,0.13274013465241144,0.22,15,169,654,91,16,130,1020,55,21,2421,235,15,4
196,68,2.524949082364843e-05,568,7,0.12612185561719527,5,0.7768595041322314,0.12612185561719527,0.32,21,234,561,208,53,198,1667,41,6,3055,54,12,4
151,62,3.3701609851468846e-05,805,7,0.1387872119179482,5,0.7355371900826446,0.1387872119179482,0.32,26,181,519,130,12,649,183,3,15,1747,18,11,4
191,63,2.4846160972809164e-05,558,7,0.12969001443898312,5,0.71900826446281,0.12969001443898312,0.3,25,218,735,166,63,155,1169,39,5,2623,43,5,4
1256,56,7.74092749291017e-05,455,7,0.13205249997692667,5,0.8925619834710744,0.13205249997692667,0.34,18,248,406,70,7,372,3621,50,16,5472,660,4,4
1266,137,9.919657285974157e-05,497,7,0.13741342170417034,5,0.9421487603305785,0.13741342170417034,0.3,24,180,443,33,10,136,232,22,12,2072,976,4,4
105,32,1.2134333132351766e-07,180,7,0.11607170889864515,5,0.7355371900826446,0.11607170889864515,0.36,4,248,737,2,22,1,2,2,2,1024,2,2,8
1064,42,9.626432387618333e-05,390,7,0.14267808878275295,5,0.8925619834710744,0.14267808878275295,0.32,12,214,472,187,38,759,1169,30,18,3202,290,13,4
1081,37,7.880821717619036e-05,622,7,0.1359050884836466,5,0.8842975206611571,0.1359050884836466,0.32,16,159,616,337,8,173,791,19,30,2413,259,5,4
1168,43,7.085405845596131e-05,304,7,0.13256684948088626,5,0.9338842975206612,0.13256684948088626,0.2,13,197,489,115,43,443,1569,81,8,3345,380,7,4
1141,41,8.472449108098993e-05,365,7,0.11273141020248653,5,0.9338842975206612,0.11273141020248653,0.36,9,131,171,165,11,333,1338,32,33,2696,464,9,4
1118,51,6.281062003838297e-05,451,7,0.13035797029129448,6,0.8016528925619835,0.13035797029129448,0.24,18,113,402,223,19,196,647,15,53,1841,141,14,4
1174,56,8.70580315478555e-05,478,7,0.12460939680298243,5,0.9090909090909091,0.12460939680298243,0.24,21,198,377,143,7,242,2184,36,14,3574,346,6,4
1250,66,8.65389607362105e-05,657,7,0.14007450176077468,5,0.8925619834710744,0.14007450176077468,0.4,20,163,348,81,8,199,142,48,6,1295,274,6,4
